idx,gold_label,Sentence1,Sentence2,Explanation_1,Translated_Sentence1,Translation_Evaluation_Sentence1,Translated_Sentence2,Translation_Evaluation_Sentence2,Translated_Explanation_1,Translation_Evaluation_Explanation_1,Well-Written,Related,Factual,New Information,Unnecessary Information,Back_Sentence1,Back_Sentence2
245852,neutral,A band is practicing their routine.,A band rehearses for the battle of the band competiton.,"We can't infer that they are practicing for the battle of the band competition, it could be for anything.",Eine Band übt ihren Auftritt.,,Eine Band probt für den Bandwettbewerb.,,,,,,,,,A band is practicing their performance.,A band is rehearsing for the band competition.
16340,contradiction,A laboratory worker making a phone call.,A woman is doing lab experiments with a telephone,A laboratory worker can't be making a phone call and doing lab experiments with a telephone at the same time.,"Ein Laborarbeiter, der ein Telefonat führt.",,Eine Frau führt Laborversuche mit einem Telefon durch.,,,,,,,,,A laboratory worker who is on a phone call.,A woman conducts laboratory experiments with a telephone.
122833,neutral,A man in a yellow shirt is on a roof hammering in shingles.,A man fixes his roof after a storm.,Roof damage can be caused by more than just a storm.,Ein Mann in einem gelben Hemd ist auf einem Dach und hämmert Schindeln ein.,,Ein Mann repariert sein Dach nach einem Sturm.,,,,,,,,,A man in a yellow shirt is on a roof and hammering shingles in.,A man repairs his roof after a storm.
56942,neutral,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,Three woman are leaning on a fence watching a concert,Just because the women are leaning on a fence does not mean they are watching a concert.,Drei braunhaarige Frauen in braunen und grünen Röcken lehnen an einem Metallzaun und starren nach links.,,Drei Frauen lehnen sich an einen Zaun und schauen sich ein Konzert an.,,,,,,,,,Three brown-haired women in brown and green skirts lean against a metal fence and stare to the left.,Three women lean against a fence and watch a concert.
70751,neutral,Man on a motorcycle performing a trick high in the air.,A man on a Kawasaki is performing a trick high in the air.,Man on a motorcycle performing a trick high in the air does not indicate man is on a Kawasaki performing,"Mann auf einem Motorrad, der einen Trick hoch in der Luft ausführt.",,Ein Mann auf einer Kawasaki führt einen Trick hoch in der Luft aus.,,,,,,,,,Man on a motorcycle performing a trick high in the air.,A man on a Kawasaki performs a trick high in the air.
201159,contradiction,Two dogs playing in a yard.,The dogs are inside the house.,Dogs are either playing in a yard or are inside the house.,Zwei Hunde spielen im Hof.,,Die Hunde sind im Haus.,,,,,,,,,Two dogs are playing in the yard.,The dogs are in the house.
13812,entailment,"A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.",There is a person playing an instrument.,A balding man is a person.,"Ein kahl werdender Mann in einem dunklen Anzug und einer bordeauxroten Krawatte, mit Schnurrbart und Bart, spielt Dudelsack, während eine junge blonde Frau neben ihm in einem hellblauen Crop-Top und Rock zuhört und ihre Zunge herausstreckt.",,"Es gibt eine Person, die ein Instrument spielt.",,,,,,,,,"A balding man in a dark suit and a burgundy tie, with a mustache and beard, plays the bagpipes while a young blonde woman next to him, wearing a light blue crop top and skirt, listens and sticks out her tongue.",There is a person who plays an instrument.
182183,neutral,A guy wearing protective pants is carving an owl on a perch out of wood using a chainsaw.,A man wearing yellow pants is carving an owl.,Not all protective pants are yellow.,Ein Mann mit Schutzhose schnitzt eine Eule auf einem Ast aus Holz mit einer Motorsäge.,,Ein Mann mit gelben Hosen schnitzt eine Eule.,,,,,,,,,A man wearing protective pants is carving an owl on a wooden branch with a chainsaw.,A man with yellow pants is carving an owl.
147494,neutral,A man in orange is demonstrating the use of a peeler.,a chef teaching how to cook,Not all man is chef.,Ein Mann in Orange demonstriert die Verwendung einer Schäler.,,"ein Koch, der erklärt, wie man kocht",,,,,,,,,A man in orange demonstrates the use of a peeler.,a chef who explains how to cook
186309,contradiction,A guy in a blue polo shirt and shorts addresses an audience in an auditorium.,A rock band is playing on a stage.,one is about a guy addressing an audience while the other is about a band playing on a stage,Ein Mann in einem blauen Poloshirt und Shorts spricht ein Publikum in einem Auditorium an.,,Eine Rockband spielt auf einer Bühne.,,,,,,,,,A man in a blue polo shirt and shorts is addressing an audience in an auditorium.,A rock band is playing on a stage.
112153,contradiction,A young man on an indoor stage stands before a microphone while holding a guitar.,a young man sits alone in his apartment,The man would not be on an indoor stage while in his apartment.,"Ein junger Mann auf einer Bühne im Innenraum steht vor einem Mikrofon, während er eine Gitarre hält.",,ein junger Mann sitzt allein in seiner Wohnung,,,,,,,,,A young man on an indoor stage stands in front of a microphone while holding a guitar.,a young man sits alone in his apartment
153446,neutral,A young girl stands barefoot on a driveway and uses a hula-hoop.,The hula-hoop is pink.,Not all hula-hoops are pink.,Ein junges Mädchen steht barfuß auf einer Einfahrt und benutzt einen Reifen.,,Der Hula-Hoop ist rosa.,,,,,,,,,A young girl stands barefoot on a driveway and uses a tire.,The hula hoop is pink.
186431,neutral,Shirtless men in their underwear are running with a blond in red underwear.,Men wearing very little clothing are jogging around the yard with a blond person wearing very little clothing.,"Although they are running with a blond, it does not imply they are in the yard.",Hemdlose Männer in Unterwäsche laufen mit einer Blondine in roter Unterwäsche.,,"Männer mit sehr wenig Kleidung joggen um den Hof herum mit einer blonden Person, die ebenfalls sehr wenig Kleidung trägt.",,,,,,,,,Shirtless men in underwear run with a blonde woman in red lingerie.,Men with very little clothing are jogging around the courtyard with a blonde person who is also wearing very little clothing.
220083,neutral,A boy is kicking a ball across the street.,it  was  kicked  acrossed the  street,it could mean any object besides a ball.,Ein Junge tritt einen Ball über die Straße.,,Es wurde über die Straße getreten.,,,,,,,,,A boy kicks a ball across the street.,It was trampled over the street.
59257,entailment,A native person doing a dance.,a person dancing,doing a dance implies dancing,"Eine einheimische Person, die einen Tanz aufführt.",,eine Person tanzt,,,,,,,,,A native person performing a dance.,a person is dancing
75778,entailment,A person in a red hat is walking past a building that is in need of a paint job.,Someone is taking a walk outside.,"A person in a red hat is someone, and buildings are outside.","Eine Person mit einer roten Mütze geht an einem Gebäude vorbei, das dringend eine neue Farbe benötigt.",,Jemand macht einen Spaziergang draußen.,,,,,,,,,A person wearing a red hat is walking past a building that urgently needs a new coat of paint.,Someone is taking a walk outside.
45674,neutral,A man is laughing with his hand up in the air and a little boy is watching him and laughing.,The boy is wearing socks.,Cannot assume that the little boy is wearing socks.,Ein Mann lacht mit der Hand in der Luft und ein kleiner Junge beobachtet ihn und lacht ebenfalls.,,Der Junge trägt Socken.,,,,,,,,,A man laughs with his hand in the air and a little boy watches him and laughs as well.,The boy is wearing socks.
172619,contradiction,Some people are gathered on a sidewalk next to some colorful umbrellas and bags.,The umbrellas are black.,Colorful umbrellas are different then black umbrellas,Einige Menschen sind auf einem Gehweg neben einigen bunten Regenschirmen und Taschen versammelt.,,Die Schirme sind schwarz.,,,,,,,,,Some people are gathered on a sidewalk next to some colorful umbrellas and bags.,The umbrellas are black.
135418,contradiction,A mountain biker is jumping his bike over a rock as another cyclist stands on the trail watching.,Skateboarder shreds the street course.,A trail is not a street.,"Ein Mountainbiker springt mit seinem Fahrrad über einen Felsen, während ein anderer Radfahrer am Weg steht und zuschaut.",,Der Skateboarder zerfetzt die Straßenstrecke.,,,,,,,,,A mountain biker jumps over a rock with his bike while another cyclist stands on the path and watches.,The skateboarder tears up the street course.
70802,entailment,"Three male students, one in red peering through a microscope.",Three boys are looking into a science instrument.,"The three boys are working on a science project, while one in red is looking through the science instrument.","Drei männliche Studenten, einer im Roten schaut durch ein Mikroskop.",,Drei Jungen schauen in ein wissenschaftliches Instrument.,,,,,,,,,"Three male students, one in red is looking through a microscope.",Three boys are looking at a scientific instrument.
114993,entailment,Young skateboarding boy flips his board while performing a stunt.,A skateboarding boy does stunts.,A boy flips his board while skateboarding implies he does stunts.,Ein junger Skateboardfahrer dreht seine Board während er einen Trick ausführt.,,Ein Junge auf einem Skateboard macht Tricks.,,,,,,,,,A young skateboarder spins his board while performing a trick.,A boy on a skateboard is doing tricks.
46429,entailment,five hikers walk down the hillside.,Five hikers walk down the hillside,if five hikers are walking down a hillside then five hikers walk down a hillside.,Fünf Wanderer gehen den Hang hinunter.,,Fünf Wanderer gehen den Hang hinunter.,,,,,,,,,Five hikers are going down the slope.,Five hikers are going down the slope.
117072,contradiction,Toe women sitting on the concrete ledge of a graffiti covered wall.,The toe women are inside sleeping.,"The women are either sitting on the concrete ledge or they are inside sleeping, it can't be both.","Zehen von Frauen, die auf einem mit Graffiti bedeckten Beton Sims sitzen.",,Die Zehenfrauen schlafen drinnen.,,,,,,,,,Toes of women sitting on a concrete ledge covered with graffiti.,The toe-women sleep inside.
72160,entailment,A man plays an acoustic guitar on a subway platform.,A man is playing music.,Playing an acoustic guitar is a type of music.,Ein Mann spielt eine Akustikgitarre auf einer U-Bahn-Station.,,Ein Mann spielt Musik.,,,,,,,,,A man is playing an acoustic guitar at a subway station.,A man is playing music.
121855,entailment,Man in black shirt holding a short-haired woman.,Man in shirt is holding a woman.,"The second sentence doesn't describe how the man is holding the woman, or the provided details about her.",Mann im schwarzen Hemd hält eine kurzhhaarige Frau.,,Mann im Hemd hält eine Frau.,,,,,,,,,Man in a black shirt is holding a short-haired woman.,Man in a shirt is holding a woman.
52415,entailment,Woman in blue shirt blowing very large bubble,A woman blows a bubble.,Woman in blue shirt is a type of woman.,"Frau im blauen Hemd, die eine sehr große Blase bläst",,Eine Frau bläst eine Blase.,,,,,,,,,"Woman in the blue shirt, who is blowing a very large bubble",A woman blows a bubble.
60764,neutral,A black and white dog looks at a man about to throw something.,The man is his owner.,Only because a dog looks at a man doesn't necessarily mean the man is his owner.,"Ein schwarzer und weißer Hund schaut auf einen Mann, der gerade etwas werfen will.",,Der Mann ist sein Besitzer.,,,,,,,,,A black and white dog looks at a man who is about to throw something.,The man is his owner.
181875,neutral,a young child throwing stones into a shallow stream.,A child sits next to a stream.,A child throwing stones into a stream may not be sitting next to it.,"ein kleines Kind, das Steine in einen flachen Bach wirft.",,Ein Kind sitzt neben einem Bach.,,,,,,,,,a small child throwing stones into a shallow stream.,A child sits next to a stream.
133305,entailment,A young boy in a black jacket is running towards a woman with outstretched arms.,A boy is running towards an eagerly waiting woman,A young boy running towards a woman with outstretched arms simply means a boy is running towards an eagerly waiting woman,Ein junger Junge in einer schwarzen Jacke läuft auf eine Frau mit ausgestreckten Armen zu.,,Ein Junge läuft auf eine sehnsüchtig wartende Frau zu.,,,,,,,,,A young boy in a black jacket runs towards a woman with outstretched arms.,A boy runs towards a woman who is waiting longingly.
216957,contradiction,A small dog and a large dog with a rope in its mouth.,One cat nibbles on a mouse given by his owner.,Dog and cat are different.,Ein kleiner Hund und ein großer Hund mit einem Seil im Maul.,,Eine Katze knabbert an einer von ihrem Besitzer gegebenen Maus.,,,,,,,,,A small dog and a large dog with a rope in its mouth.,A cat nibbles on a mouse given to it by its owner.
86641,contradiction,An old woman is knitting with blue yarn.,A teenager knits a scarf.,An old woman cannot be a teenager.,Eine alte Frau strickt mit blauer Wolle.,,Ein Teenager strickt einen Schal.,,,,,,,,,An old woman is knitting with blue wool.,A teenager is knitting a scarf.
99583,neutral,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.",Runners butt naked running a marathon,Runners without or with butt naked can run,"Läufer, einige in Kostümen, nehmen an einem St. Patrick’s Day-Marathon teil und laufen durch die Straßen, während Menschen zuschauen.",,Läufer splitterfasernackt bei einem Marathon,,,,,,,,,"Runners, some in costumes, participate in a St. Patrick's Day marathon and run through the streets while people watch.",Runner completely naked during a marathon
117501,entailment,A black and white dog is going through an obstacle course.,The animal is on a course.,Dog is animal.,Ein schwarzer und weißer Hund durchläuft einen Hindernisparcours.,,Das Tier ist auf einem Kurs.,,,,,,,,,A black and white dog runs through an obstacle course.,The animal is on a course.
89281,neutral,Group of men in blue shirts drying off a red car at a car wash.,Group of men in blue shirts and black pants drying off a red car at a car wash.,We do not know they are in black pants.,Gruppe von Männern in blauen Hemden trocknet einen roten Wagen an einer Autowaschanlage ab.,,Gruppe von Männern in blauen Hemden und schwarzen Hosen trocknet einen roten Wagen an einer Autowaschanlage ab.,,,,,,,,,Group of men in blue shirts drying a red car at a car wash.,Group of men in blue shirts and black pants drying a red car at a car wash.
17850,neutral,Three guys sitting at the table together drinking beers and taking pictures.,Three guys are getting drunk,just because three guys are sitting at the table together drinking beers and taking pictures doesn't mean they are getting drunk,"Drei Kerle sitzen zusammen am Tisch, trinken Bier und machen Fotos.",,Drei Kerle betrinken sich.,,,,,,,,,"Three guys are sitting together at the table, drinking beer and taking pictures.",Three guys get drunk.
43428,entailment,three people standing on the side of a snowy grassy hill,Three people are standing on a hill.,People are standing on a hill that is snowy and grassy.,drei Menschen stehen auf der Seite eines schneebedeckten grasigen Hügels,,Drei Menschen stehen auf einem Hügel.,,,,,,,,,three people stand on the side of a snow-covered grassy hill,Three people are standing on a hill.
197068,neutral,A woman realigns her sock in a messy park.,A women stopped running to fix her sock.,A woman realigning her sock in a park does not mean that she is running.,Eine Frau richtet ihren Socken in einem unordentlichen Park wieder aus.,,"Eine Frau hörte auf zu laufen, um ihren Socken zu richten.",,,,,,,,,A woman adjusts her socks in a messy park.,A woman stopped running to adjust her sock.
121515,neutral,Children and adults in bright colored clothes are dancing.,The people are dancing at a party.,Dancing does not only happen at parties - it could be occurring in another setting,Kinder und Erwachsene in hellfarbigen Kleidern tanzen.,,Die Menschen tanzen auf einer Party.,,,,,,,,,Children and adults in light-colored clothing are dancing.,The people are dancing at a party.
32311,entailment,A dog playing in the grass.,An animal enjoying its time outdoors.,A dog is an animal.,Ein Hund spielt im Gras.,,Ein Tier genießt seine Zeit im Freien.,,,,,,,,,A dog is playing in the grass.,An animal enjoys its time outdoors.
190540,entailment,A man wearing a green shirt is trying to comfort his crying child by holding the child and giving him a kiss on the cheek.,There is a kid crying and being held by a man.,"A crying child is a rephrasing of a kid crying. When someone is holding a child, the child, or kid, is being held.","Ein Mann mit einem grünen Hemd versucht, sein weinendes Kind zu trösten, indem er es hält und ihm einen Kuss auf die Wange gibt.",,"Es gibt ein Kind, das weint und von einem Mann gehalten wird.",,,,,,,,,A man in a green shirt tries to comfort his crying child by holding it and giving it a kiss on the cheek.,There is a child who is crying and being held by a man.
83381,neutral,Three people on a boat are laughing and smiling.,Three people are making jokes about the sea.,"People laughing may not be telling jokes. Perhaps something amusing happened nearby. Even if they are telling jokes, just because they are on a boat the jokes might not have been about the sea.",Drei Menschen auf einem Boot lachen und lächeln.,,Drei Menschen machen Witze über das Meer.,,,,,,,,,Three people on a boat are laughing and smiling.,Three people make jokes about the sea.
57663,contradiction,Man is laying down on red lounge chair.,The man sleeping in his bed.,A lounge chair is not a bed.,Ein Mann liegt auf einem roten Liegestuhl.,,Der Mann schläft in seinem Bett.,,,,,,,,,A man is lying on a red lounge chair.,The man is sleeping in his bed.
196613,neutral,A person sitting on a hill outside.,A person sits on a hill to have a picnic,A person sitting on a hill outside is not necessarily a person who sits on a hill to have a picnic.,Eine Person sitzt draußen auf einem Hügel.,,"Eine Person sitzt auf einem Hügel, um ein Picknick zu haben.",,,,,,,,,A person is sitting outside on a hill.,A person is sitting on a hill to have a picnic.
163276,contradiction,a woman trying on open toed shoes while shopping.,The woman is at home.,The woman can be either shopping or at home.,"eine Frau, die sich offene Schuhe beim Einkaufen anprobiert.",,Die Frau ist zu Hause.,,,,,,,,,a woman trying on open shoes while shopping.,The woman is at home.
85561,contradiction,A woman organizing lettuce in a market.,A man picks through some lettuce,A man picking through lettuce is different from a woman organizing lettuce,"Eine Frau, die Salat auf einem Markt ordnet.",,Ein Mann sortiert durch einige Salatblätter.,,,,,,,,,A woman arranging salad at a market.,A man sorts through some lettuce leaves.
217657,neutral,A hitter is swinging a bat at a baseball during a game while the catcher and umpire look on.,The pitcher has just thrown a strike.,It cannot be assumed that the pitcher threw a strike.,"Ein Schlagmann schwingt einen Schläger auf einen Baseball während eines Spiels, während der Fangmann und der Schiedsrichter zuschauen.",,Der Pitcher hat gerade einen Strike geworfen.,,,,,,,,,A batter swings a bat at a baseball during a game while the catcher and the umpire watch.,The pitcher just threw a strike.
178599,entailment,Woman balances a pie on her head and looks up into camera,A woman is standing up.,There is a woman standing up with a pie on her head.,Eine Frau balanciert einen Kuchen auf ihrem Kopf und schaut in die Kamera hinauf.,,Eine Frau steht auf.,,,,,,,,,A woman balances a cake on her head and looks up at the camera.,A woman stands up.
164821,entailment,A boy and a girl playing on the beach.,The boy and girl are outside.,A beach is always found outside.,Ein Junge und ein Mädchen spielen am Strand.,,Der Junge und das Mädchen sind draußen.,,,,,,,,,A boy and a girl are playing on the beach.,The boy and the girl are outside.
